JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Head of Performance Measurement and Portfolio Analysis,Mediolanum International Funds Limited,Dublin,2 days ago,2021-01-22,"Knowledge or experience with scripted languages (Python, R) and data science exposure is an advantage. The team has grown in recent years and are responsible…",,https://ie.indeed.com/rc/clk?jk=a6da5e78b0f9412d&fccid=5fe576c1c34a75fd&vjs=3
Marketing Data Delivery Executive - Betfair International,Betfair International,Dublin,30+ days ago,2021-01-22,"Strong understanding of the campaign targeting toolkit, which includes data interrogation, data manipulation, campaign management and analysis tools.",,https://ie.indeed.com/rc/clk?jk=371575ca23932dd0&fccid=36e054edfc4066d5&vjs=3
"Graduate, Operations Coordinator 2 - Regulatory Reporting",IQVIA,Dublin,16 days ago,2021-01-22,"At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…",,https://ie.indeed.com/rc/clk?jk=8917ad268d66f2d6&fccid=6b7a1dfe07e7f037&vjs=3
Group Revenue Analyst,Staycity Group,Dublin,8 days ago,2021-01-22,"Develop, maintain and analyse production reports as needed to provide business performance reviews, hotel pricing results, mix of business optimization studies,…",,https://ie.indeed.com/company/Staycity/jobs/Group-Revenue-Analyst-59e76ae3c9f5b65f?fccid=e242e3083692ff12&vjs=3
Data Scientist - Computer Vision,Shutterstock,Dublin,30+ days ago,2021-01-22,"Enhancing data collection procedures to include information that is relevant for building analytic systems. Processing, cleansing, and verifying the integrity…",,https://ie.indeed.com/rc/clk?jk=d22e4450b0cce3d7&fccid=bee6858907df8871&vjs=3
Data Architect,Abbott Laboratories,Dublin,30+ days ago,2021-01-22,"Translate analytics data needs into functional specifications and architectural designs that include: data definitions, data model, data flows and…",,https://ie.indeed.com/rc/clk?jk=67cf8c92ab0bfc8b&fccid=7942658690eba67c&vjs=3
Associate Data Analytics Manager - (Process Sciences),Regeneron,Limerick,30+ days ago,2021-01-22,Presents and reviews process monitoring data to IOPS Management as necessary. Apply statistical process control to clinical and commercial process data.,,https://ie.indeed.com/rc/clk?jk=a6891a853b19c7e2&fccid=f042b91ff3f82696&vjs=3
"Manager, Customer Experience - Dublin, Ireland",Zoetis,Dublin,14 days ago,2021-01-22,"Ability to read and synthesize data to understand customers satisfaction, along with their attitudes, motivations etc. Self-starter with attention to detail.",,https://ie.indeed.com/rc/clk?jk=dac68fb4ff741716&fccid=745f1dbed6d65d32&vjs=3
"Junior BI Developer - Dublin / Letterkenny, Ireland",UnitedHealth Group,Dublin,6 days ago,2021-01-22,"Build robust ETL process, data cleansing and data models appropriated for reporting. Experience performing data analysis and report development.",,https://ie.indeed.com/rc/clk?jk=5d4538a1091f75ea&fccid=d3d3520998346837&vjs=3
Performance Marketing Data Analyst,Ding,Dublin,30+ days ago,2021-01-22,"Using web analytics data, you will drive change by providing analysis, insights and recommendations. Commercially minded with experience in interpreting data…",,https://ie.indeed.com/rc/clk?jk=005c250bcfb985df&fccid=56655429c3fe77ba&vjs=3
Data Architect,Morgan McKinley,Dublin,30+ days ago,2021-01-22,"The Data Architect role is a key leadership position in the Intelligence Management Function (IMF), responsible for the overall definition and execution of…",,https://ie.indeed.com/rc/clk?jk=5ad98d7c97764215&fccid=893f9f3cd9fe4472&vjs=3
Performance Analyst,Mediolanum International Funds Limited,Dublin,30+ days ago,2021-01-22,The ultimate goal of the organisation is for this team to transfer its analytics to a business intelligence (BI) application.,,https://ie.indeed.com/rc/clk?jk=35cc8d45645ecc45&fccid=5fe576c1c34a75fd&vjs=3
Quality Controller,Lionbridge Technologies,"Ballina, County Mayo",Just posted,2021-01-22,Experience with data analysis to support decision-making an advantage. These insights will feed into customer analytics to improve and localize online…,,https://ie.indeed.com/rc/clk?jk=4029c7c76e79d1b9&fccid=52f57f86717b2054&vjs=3
"Mobile Insights Analyst, EMEA",Sensor Tower,Dublin,6 days ago,2021-01-22,"2+ years applied experience in business intelligence, data mining, analytics, or statistical modeling. A passion for data analysis and presentation of data…",,https://ie.indeed.com/rc/clk?jk=c92444bca25e27cb&fccid=c659788ec6cc356e&vjs=3
Network Engineer,Facebook,Dublin,30+ days ago,2021-01-22,"Analyze data to diagnose and identify root causes to network issues. (Re)Design, deploy, manage and maintain multi-vendor, multi-protocol data center, backbone…",,https://ie.indeed.com/rc/clk?jk=484c568fdcaac70e&fccid=1639254ea84748b5&vjs=3
Azure Data Platform Consultant,Storm Technology Limited,Dublin,30+ days ago,2021-01-22,We are seeking an Azure Data Platform Consultant who is passionate about data analytics and helping customers achieve more with their data.,,https://ie.indeed.com/rc/clk?jk=05bcec90ad17f704&fccid=a95916042d57cf4f&vjs=3
Data Scientist,Morgan McKinley,Cork,30+ days ago,2021-01-22,Working with large data sets. Very good reporting data visualisation experience using Tableau. This is an excellent opportunity for an experienced Data…,,https://ie.indeed.com/rc/clk?jk=ba244ad009927975&fccid=893f9f3cd9fe4472&vjs=3
Lead Data Scientist,Circle,Dublin,6 days ago,2021-01-22,"Contribute to analytics projects across Circle teams, with involvement from data collection all the way to presentation and decision support.",,https://ie.indeed.com/rc/clk?jk=104be1c37e50cbf7&fccid=4ad12104a44e9eb6&vjs=3
Customer Success Engineer,Segment,Dublin,1 day ago,2021-01-22,"One customer might be combining web data with iOS data, while another sends point of sale purchases through a Go backend to multiple analytics tools and a data…",,https://ie.indeed.com/rc/clk?jk=72ccf2b1b0ea83ce&fccid=1ed502f6da51dc36&vjs=3
Data Support Engineer – Dublin City Centre,Firstaff Personnel Consultants Ltd,Dublin,30+ days ago,2021-01-22,Work very closely with data engineering team to deploying data and analytics applications into production. Provide feedback to data engineering team on design…,"€60,000 a year",https://ie.indeed.com/rc/clk?jk=6aa64fbee71510eb&fccid=00eed407d34e9f15&vjs=3
Staff Engineer,Zendesk,Dublin,1 day ago,2021-01-22,Work with data and analytics experts to strive for greater functionality in our data systems. Create and maintain data pipeline architecture and data stores.,,https://ie.indeed.com/rc/clk?jk=48075d2b01536162&fccid=41e8f9abd9840a7a&vjs=3
PPC Specialist,Glanbia,Dublin,19 days ago,2021-01-22,"You should be data driven and accomplished in analytics. Location: Dublin, D, IE, D24. A vacancy has arisen for the role of Digital Marketing / PPC Specialist…",,https://ie.indeed.com/rc/clk?jk=ab6e6ad2f0af02dd&fccid=3948ea04566b0dab&vjs=3
Product Designer (Zendesk Explore),Zendesk,Dublin,14 days ago,2021-01-22,"Experience with data visualisations and analytics. You have a love of data and analytics, and your strive to think how they can be best communicated through…",,https://ie.indeed.com/rc/clk?jk=a1841ee79db51fbe&fccid=41e8f9abd9840a7a&vjs=3
Process Manager,HCL Technologies,Dublin,1 day ago,2021-01-22,Strong analytic and decision making abilities. Identify and suggest changes to the ‘Foundation data’ in the tools. *PURPOSE OF THE JOB.,,https://ie.indeed.com/company/HCL-Technologies---Ireland/jobs/Process-Manager-7f933c6f69a445c0?fccid=b622a5f60632ad0e&vjs=3
Housing Policy Advisor,Clúid Housing,Dublin,3 days ago,2021-01-22,Proven ability to interpret and make accessible complex ideas and data. Location Sheriff Street Dublin 1. Job Title Housing Policy Advisor.,"€45,509 - €58,894 a year",https://ie.indeed.com/rc/clk?jk=6533e0c9a939e3c1&fccid=f22c9624ac19b370&vjs=3
Marketing Executive,BSI,Dublin,29 days ago,2021-01-22,"Be data driven and use analytics to drive the numbers mainly revenue, margin and increased spend per accounts. This job was originally posted on Mustakbil.com.",,https://ie.indeed.com/rc/clk?jk=aa8aa3c1201fda6f&fccid=94c8d8eac3748291&vjs=3
Data Analytics Manager - (Process Sciences),Regeneron,Limerick,30+ days ago,2021-01-22,Presents and reviews process data to IOPS Management when required. Summary: Supports the Process Sciences Department through data and statistics.,,https://ie.indeed.com/rc/clk?jk=4925e7cb9c97a80a&fccid=f042b91ff3f82696&vjs=3
Business Analyst - Digital,Penneys,Dublin,7 days ago,2021-01-22,Some experience with leveraging data analytic technologies. Demonstrate an understanding of the requirements for integrations and data transformation in a…,,https://ie.indeed.com/rc/clk?jk=9625f9a882a438cd&fccid=909e8aea2791d782&vjs=3
Lean Specialist - Grade VII*,TUSLA,Dublin,Today,2021-01-22,Complete complex data analysis to improve process and product capability. Knowledge of advanced statistical tools and experience in analyzing process…,,https://ie.indeed.com/rc/clk?jk=995ac0b1ed7291b4&fccid=5a4b123e72d51685&vjs=3
Social Media and Marketing Assistant,NL,"Clonmel, County Tipperary",Just posted,2021-01-22,Recommending and implementing changes and improvements based on data insights. Our company is seeking an enthusiastic Social Media & Marketing Person to join…,,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3j_4v8_LrkkZL8AdvxFRlJsiFiRsqPvRcVY-C-fXHo3y4kdFnFzOpH9dcLWGtKTCZHuAA2Wx0-iqatMfFIS_AwObXw4i6LqaWzKIrUFT8jJubR_15F6NQXW1fMsUwItHXzHfHoHoXEkXtlgfI_m3U94lMZULOnehD1FmLp-c8JpXEysKY8tXiOyc3mP5fgMjWsfFnYsmPOpWwH4u0VZ-Jlz2TgeOxCnvmlzELi_21hkYACX2kiO-n7HVh7XAlrYuAQjTGzrkyFVS5C66__gJoMulxZ_SFoSUV2V-NAH-pR96M6BIALZ_E_5nttQ-wqt5nD3J_4JxJPDAbvVrjSXB-0d-X1e3uDAarQ3qS23WDWnxI-TOdKrZZRvTbu2znwhSmeoysUlZGxsdvZePzRIs7lYzNj5fZODnTlpSOsOVRNobpSLwa4dBGP0r32UZDFNB9Yq3K-OUSk7vnWtDtfnD7&p=8&fvj=1&vjs=3
SEO Specialist,Gambling.com Group,Dublin,2 days ago,2021-01-22,Data-driven thinking as this is a very technical and data-rich environment. Gambling.com Group is the leading performance marketing company in the online…,,https://ie.indeed.com/rc/clk?jk=36570ac416de3e79&fccid=35e7ded440219417&vjs=3
"Senior Data Scientist- Dublin, Ireland",UnitedHealth Group,Dublin,10 days ago,2021-01-22,Comfortable analyzing and interpreting large volumes of data from disparate data sources. Ability to evaluate data and feasibility of data science applications…,,https://ie.indeed.com/rc/clk?jk=6305ed30b55ff5a5&fccid=d3d3520998346837&vjs=3
Master Data Officer,UniPhar Group,Dublin,16 days ago,2021-01-22,"These services include product distribution, outsourcing and resourcing, multichannel account management, data analytics, market access and patient management…",,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7QvQk-_XTcQSE_7jDVZq-FoCUPJhY_94zrudRlfs8872K1jeeqFbNhCxrPo2hnj1fdGIo22swH3Ne87izRxxVoDqZqJ-oCUkUHZg7eYQFWI3UwVJohG9KGAWD-7zc-2D_1ycFSJmJ6CNwbvCO45pGZOzyT6uYtq6mv3DeDIrCv9zkv7YTbMeUU_0HyRB2n-ZLSGK3_jM0JhN9y8cBZsXmBR98yD2kbwuAZnfi6LjYeZNdyXiv0pPnSoPCWkX3irOuzzGxLeftn5Oz6p7aNq4W9-3-KS_xfARVU0RNgTNhezKDUyrFWg-VcchemCHOpCq9SAkwwo5fj6dbeJuQZZTs0LF5oobjntFSeqQYLEw3xsm6KfbQXPj2YxEdHf8wZ0rm59wzHTVjBMDx2H5TFA2XH9pVd5C0K0GDhSCwZp-5oJ8FTlYuaxLqiLHj6Fm6mhG27E5Q3VlBof0VQrIZIuIx&p=11&fvj=1&vjs=3
"Senior Data Analyst - Letterkenny or Dublin, Ireland",UnitedHealth Group,"Letterkenny, County Donegal",30+ days ago,2021-01-22,"Develop new and maintain existing SAS programs to analyze healthcare claims to support ad hoc data requests, including data processing, data cleansing and…",,https://ie.indeed.com/rc/clk?jk=27f51ca5c6094f5e&fccid=d3d3520998346837&vjs=3
Shopify Developer,Dept,Dublin,30+ days ago,2021-01-22,Helping with website conversion and analytics. Knowledgeable in security / personal data protection principles and GPDR.,,https://ie.indeed.com/rc/clk?jk=22793b1dbf497dfe&fccid=8b05e8367ae5814d&vjs=3
Technology Recruiter,Penneys,Dublin,10 days ago,2021-01-22,"Our Technology teams are expanding, and we have an exciting role for an experienced Technology Recruiter to join the Resourcing Team in Dublin.",,https://ie.indeed.com/rc/clk?jk=5b545903068c5af4&fccid=909e8aea2791d782&vjs=3
Technology Recruiter,Penneys,Dublin,10 days ago,2021-01-22,"Our Technology teams are expanding, and we have an exciting role for an experienced Technology Recruiter to join the Resourcing Team in Dublin.",,https://ie.indeed.com/rc/clk?jk=5b545903068c5af4&fccid=909e8aea2791d782&vjs=3
Pharmacovigilance Specialist -Italian/ English Bilingual,IQVIA,Dublin,1 day ago,2021-01-22,"Receive, triage, review and process Lifecycle safety operational data. Receive and document incoming telephone calls, faxes or emails from investigative sites…",,https://ie.indeed.com/rc/clk?jk=de77c1c98409a98a&fccid=6b7a1dfe07e7f037&vjs=3
XLICSE: Strategic Project Officer,XL Catlin,Dublin,8 days ago,2021-01-22,"Conduct market research, financial and data analyses to inform strategic recommendations. Ability to review and assess large volumes of technical data and…",,https://ie.indeed.com/rc/clk?jk=a1c5260635dcde49&fccid=60b8046800e23554&vjs=3
Social Media and Marketing Assistant,NL,"Clonmel, County Tipperary",Just posted,2021-01-22,Recommending and implementing changes and improvements based on data insights. Our company is seeking an enthusiastic Social Media & Marketing Person to join…,,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3j_4v8_LrkkZL8AdvxFRlJsiFiRsqPvRcVY-C-fXHo3y4kdFnFzOpH9dcLWGtKTCZHuAA2Wx0-iqatMfFIS_AwObXw4i6LqaWzKIrUFT8jJubR_15F6NQXW1fMsUwItHXzHfHoHoXEkXtlgfI_m3U94lMZULOnehD1FmLp-c8JpXEysKY8tXiBGDb6IRldpSFi_7knDM85qVmxs1rKmI7mcwzwQc1q-6zVziPY-HHR5pfEZsGlVlS1RZXfObHuLVYo5PS9NCQcpkCHGAryF94wf_31IAGWZYnUtsIJCVvtOLTGQmvQVgptrM2LiH-sTU7H37aaKWqMDUAhDT-ubyDIpcBP0E53fMfsg1P-ULjy5O4xCcrCjQZZD9MmiH0J4_dSKWsP8YunI-SdnT10G6S5Oinxv4kxnluzUMyvHVyM9FL53kRMyrKlmA4Q2I-_fx8I67Df_5xE8zSMbSDj_HM&p=3&fvj=1&vjs=3
People Data Privacy Program Lead,Facebook,Dublin,30+ days ago,2021-01-22,4+ years in role(s) responsible for navigating complex data privacy requirements. Contribute to dashboard views to critical data privacy risk metrics to drive…,,https://ie.indeed.com/rc/clk?jk=c0203795460c8371&fccid=1639254ea84748b5&vjs=3
"Project Manager, Actor & Identity Process Teams",Facebook,Dublin,22 days ago,2021-01-22,"We need solutions-orientated, data-savvy, experienced project managers who can align cross-functional partners to ensure the best possible experience for our…",,https://ie.indeed.com/rc/clk?jk=c324a7d9c2b242fa&fccid=1639254ea84748b5&vjs=3
CAD Technician - Cycle Design,AECOM,Dublin,16 days ago,2021-01-22,+ Builds analytic and design skills. + Collects and analyse data under the supervision of an experienced engineer.,,https://ie.indeed.com/rc/clk?jk=b7683bc2b53f23a3&fccid=bafa4b35e9cd20ce&vjs=3
Instructional Designer,EmpowerTheUser (ETU),Dublin,30+ days ago,2021-01-22,"Their powerful technology unlocks game-changing data analytics, providing insight into workforce behavior around the globe. 3+ years of relevant experience.",,https://ie.indeed.com/rc/clk?jk=b235c9a87fff9f43&fccid=b9fe31e32c488db4&vjs=3
SAP Reporting and Analytics Lead,Morgan McKinley,Dublin,30+ days ago,2021-01-22,"For the right analytically and data driven mindset, this is identified as one of the roles where S/4 HANA training can be provided, prior experience with HANA…",,https://ie.indeed.com/rc/clk?jk=d5ba4549a002c08c&fccid=893f9f3cd9fe4472&vjs=3
Software Developer,Wow Interiorss,"South Dublin, County Dublin",7 days ago,2021-01-22,Proficient user of Google Analytics and the ability to translate data into usable insights. Wow Interiors is a boutique furniture and interiors store based in…,€750 a week,https://ie.indeed.com/company/Wow-Interiors-Dublin/jobs/Software-Developer-bf2093e3365120f8?fccid=7dc12b4c09b6a9a4&vjs=3
AWS Data Engineer,ResMed,Dublin,30+ days ago,2021-01-22,"Work with data and analytics experts to strive for greater functionality in our data systems. Experience building and optimizing ‘big data’ data pipelines,…",,https://ie.indeed.com/rc/clk?jk=7f948cc5964205ec&fccid=24a3456d3ce2ad08&vjs=3
Head of Data Engineering,HRM Executive Recruitment,Dublin,30+ days ago,2021-01-22,"Driving large scale enterprise projects and change management for the data analytics and AI function. Due to continued business growth, they are seeking an…",,https://ie.indeed.com/rc/clk?jk=3bb9541fc44a1675&fccid=a115ac20daedffe3&vjs=3
SEO Executive - Betfair International,Betfair International,Dublin,7 days ago,2021-01-22,"Leverage customer insights and analytics to continually optimise campaigns. You have a strong knowledge of digital marketing and data, and in-depth…",,https://ie.indeed.com/rc/clk?jk=5ba76b42e1791699&fccid=36e054edfc4066d5&vjs=3
Software Engineer,SAP,Dublin,4 days ago,2021-01-22,"I and augmented analytics offerings. SAP’s Business Technology Platform, which through its augmented analytics solutions, helps customers achieve operational…",,https://ie.indeed.com/rc/clk?jk=678fda274be7eff3&fccid=156c7820d1988640&vjs=3
Customer Support Specialist,CitySwift,Galway,Today,2021-01-22,"Investigate and diagnose data discrepancies & data validation. Complete data analysis to report the accuracy of CitySwift's products, in addition to diagnosing…",,https://ie.indeed.com/rc/clk?jk=c20d663294f7e9f7&fccid=eaa3122df4c97311&vjs=3
Product Operations Manager,Pinterest,Dublin,2 days ago,2021-01-22,"Strong understanding of agile product development, biz analytics, data analysis, Go-to-Market processes and online advertising sales cycles.",,https://ie.indeed.com/rc/clk?jk=26c1b84c36da4d6c&fccid=43014b1412e0a7b6&vjs=3
Product Development Analyst - Internship (6 Months),Mediolanum International Funds Limited,Dublin,30+ days ago,2021-01-22,Moving existing reporting/ processes from offline data sources to using the data from the data marts. Building dashboards in PowerBI off the data marts that…,,https://ie.indeed.com/rc/clk?jk=275228de198f3c33&fccid=5fe576c1c34a75fd&vjs=3
Research Assistants,Tyndall National Institute,Cork,30+ days ago,2021-01-22,Some research experience (typically 1 year) in data analytics of wearable sensors data for Connected Health and Wellness. Contract: Full Time/Fixed Term.,,https://ie.indeed.com/rc/clk?jk=dc37b3a7dc58a6d2&fccid=af4f5b1006d063f7&vjs=3
"Promotional Merchandising Manager, E-comm International",WorkHuman,Dublin,1 day ago,2021-01-22,"Lead and grow a team of 3+ to establish framework and processes to optimize engagement and conversion across multiple online store fronts, informed by analytics…",,https://ie.indeed.com/rc/clk?jk=5ea85d827397a40c&fccid=2ee5d5861035d939&vjs=3
Solutions Architect – Data,Eolas Recruitment,Dublin,6 days ago,2021-01-22,"Research, develop & implement architectural best practice for data (data governance, data management, data quality monitoring & automated cleansing).",,https://ie.indeed.com/rc/clk?jk=99f31692d1e59e65&fccid=84dd258955114da3&vjs=3
Space Data Manager Assistant,JLL,Dublin,30+ days ago,2021-01-22,"They will process updates of space and people data, perform data and drawing audits, and participate in data governance programs. To apply you need to have:",,https://ie.indeed.com/rc/clk?jk=724da31c333e99cd&fccid=9917de3c28f569f6&vjs=3
Shipping or Operations Administrator,Impulse Recruitment,"Sandyford, County Dublin",14 days ago,2021-01-22,Attention to analytics and conformance with defined procedures around tight timelines. The candidate will mainly be screening Customer calls and dealing with…,"€30,000 a year",https://ie.indeed.com/company/Impulse-Recruitment/jobs/Shipping-or-Operation-Administrator-914ee76a74822261?fccid=78937079cce5c38a&vjs=3
E-commerce Manager,Brian Fairbrother,"Dublin Airport, County Dublin",1 day ago,2021-01-22,"Manage, analyze and drive channel performance based on data and relevant customer segmentation. You will be passionate about e-commerce, analytics and design…","€50,000 - €70,000 a year",https://ie.indeed.com/company/Brian-Fairbrother/jobs/E-Commerce-Manager-167be6336f7e30a9?fccid=ca570045456bd1e0&vjs=3
Data Analyst - Manufacturing,FRS Recruitment,Cork,10 days ago,2021-01-22,"Knowledge of data structures, data base design, data warehouses, business intelligence/analytic tools, SQL, ETL tools, and data integration methods.",,https://ie.indeed.com/rc/clk?jk=48618b6b2cf374c8&fccid=07efad185423424b&vjs=3
Marketing & Sales Assistant,Dublin Catering Company,"Dún Laoghaire, County Dublin",7 days ago,2021-01-22,Generate reports for digital marketing campaigns using data-based analytics tools and also presenting this data in an easy to understand format.,,https://ie.indeed.com/company/Naomi's-Kitchen/jobs/Marketing-Sales-Assistant-ddd6e7afbf3bf3b9?fccid=78da427856d76d9d&vjs=3
"Manager, Community Support Operations",Coinbase,Dublin,2 days ago,2021-01-22,"Advanced experience in project management, analytics or quality assurance. Utilize an in-depth understanding of metrics to drive data-driven business decisions.",,https://ie.indeed.com/rc/clk?jk=f0fbb8c014f50682&fccid=d2c6abf8a785fc40&vjs=3
Social Media and Marketing Assistant,NL,"Clonmel, County Tipperary",Just posted,2021-01-22,Recommending and implementing changes and improvements based on data insights. Our company is seeking an enthusiastic Social Media & Marketing Person to join…,,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3j_4v8_LrkkZL8AdvxFRlJsiFiRsqPvRcVY-C-fXHo3y4kdFnFzOpH9dcLWGtKTCZHuAA2Wx0-iqatMfFIS_AwObXw4i6LqaWzKIrUFT8jJubR_15F6NQXW1fMsUwItHXzHfHoHoXEkXtlgfI_m3U94lMZULOnehD1FmLp-c8JpXEysKY8tXiJoKO7fKM1qFgDSkCxqMjaZXiECG4XOy2BjwbXDvjx2y7ERU1yEh9Jbg3g1mvreRc_iP3tbbDiOFBueSSXl1rXFeXb5T2OSvuYhhpNSBrX9_1I5LlIVJSX32F75Rrz4JDTXV-PKGGI7aQaMipOAR--adVmn6iNK1Em6Ks-Pdc5vpG7hfoayZvoMFsGqYR0UMNOZw3OEyrDZfFwxWab6MMOackCGRtIhX9pPLnKmF6RNb7pkxkyKNxlSJt3OlRu_rJqt-fFWHjtUkRwGCqJGNdYwWmkGi66dbQ&p=11&fvj=1&vjs=3
Data Scientist,Thornshaw Scientific Recruitment,"North Dublin, County Dublin",30+ days ago,2021-01-22,"Apply best practice data governance, and ensure data is secured in all times and manners. Contribute to the design the next generation analytics platform and…",,https://ie.indeed.com/rc/clk?jk=b1e51c1cc97f991d&fccid=c4492c8295ce93fb&vjs=3
"Technical Program Manager, Geo Machine Intelligence",Google,Dublin,Today,2021-01-22,Experience in solving machine learning or artificial intelligence challenges involving data analytics and statistics.,,https://ie.indeed.com/rc/clk?jk=0444895ade8982d9&fccid=a5b4499d9e91a5c6&vjs=3
Web Analyst,Gambling.com Group,Dublin,30+ days ago,2021-01-22,Strong data driven thinking to problem solve and tie data to core decision making. Use data to define CRO test strategy.,,https://ie.indeed.com/rc/clk?jk=b7b3ad3a3cf29080&fccid=35e7ded440219417&vjs=3
Senior Commercial Data Scientist,Indeed,Dublin,14 days ago,2021-01-22,Experience analyzing large data sets with quantitative modeling experience. Communicate across the organisation the value of analytics to inform sound decision…,"€60,000 - €80,000 a year",https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BASawuOzENYkBNfqYjUW0wpYO1p9_rWHDHWYbDfroXSVwzZfoZlGJP1VfLUyTeUtA1qghCb_dKh9Pu-4Q8kFBhGt8si5PUTtHhRxYHkxDk2MmNPPFNcjRURT5ecabr-4wNoMvjqzRV9apQm7RR00RG62w28D9ny17AdoVVKlUOKFs8IDXwXWK6jY3k663M9R1H_4bHi327XHDecz5yrsTV4Pdtisla556Lw9HIJRoV_ijdysXyL30JCiZ8aUuJvnvETDWwVfi_-lb4zmRrjO1BrziBCeowWIzYgNXhpsZwuGtEXsCprobJF1tmCg4WeHAx0DE7HkCDsHC7LD7IGg3iH4nlBbc0mOppJoC1SUumjU00ZXx4OiwzlR2TdpUTrbljns30jJt4MKyfvO0BY11i99sU6Mk0l6kG4rQ7jmf14RonIgVBYybZ8A8Uo3JA1qR_ofb-a_d2CGslevv0yoyK_8AV4ia8wFw=&p=0&fvj=0&vjs=3
E-Commerce Webmaster,The Simple Folk,Dublin,22 days ago,2021-01-22,"You will be data-driven and performance minded, ensuring projects are prioritised accordingly and optimised to meet our goals. You are motivated and driven.","€32,000 - €42,000 a year",https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CP0pnGyt4blDY2WUtrkMMluVh-NXolIBwj04AeFlYnXAmnNJdDPUeZihcWoLF1wiwdYVDSW0D5RKJ5D9Ed-LY9WlgRyVJX63uG-J97cYkRSXNTPrQoMjB96zznx2L9x50SJwJ0nO-BnbkAOJPTUb5j-x8oafrQvmoQawJ4K5PTC3xPNjoXQzBTMWWWqj0-N-1Xo7E_HVu5aRq2MwhbF7ZRKN85aGkrXR3BsqR0Ebf-L5NQ-iPPd2QnP9D7MXGAOFha4P1XYv6K0sGnaWwKI1H4CpLGk2rOokiju9P3aWBade5KlU_DUaO1b57FVYloJVAriHk2UA9wiM9YKbKyKz6LS1_hOtIlgWhc04r6y8P7czdkVBzK5Px8KOC65QdSeK6XI51SeLnzNQs6QfdYJeJ4GvqkulTqwlRip12CcEZ03Wz0byl-HcBqQKXMPX_Hs-ZBUKOJSs1oDA==&p=1&fvj=1&vjs=3
"DBA - MySQL, Postgres, Greenplum",Afiniti,Dublin,30+ days ago,2021-01-22,"Shall be able to provide user manuals including data standards, procedures and definition for data dictionary. Experience with Cloud platforms/technologies etc.",,https://ie.indeed.com/rc/clk?jk=db206d83bacfd6c2&fccid=b699f89e027ca757&vjs=3
"Growth Marketing Analyst, Ireland",GeistM,Dublin,16 days ago,2021-01-22,"Conduct analysis that results in actionable insights and data-driven recommendations. Daily use of reporting, analytics, and trend tools within Facebook, Google…",,https://ie.indeed.com/rc/clk?jk=978cf255c38891e9&fccid=2e80b0c582249621&vjs=3
Sales & Insight Manager - Pet Care,Purina,Dublin,6 days ago,2021-01-22,Ideally you will be working in a role that’s customer facing with a good level of analytics responsibility. We are committed to equal opportunity for all and we…,"€45,000 - €55,000 a year",https://ie.indeed.com/rc/clk?jk=984ec29cec738392&fccid=0c82f288dd6edc3c&vjs=3
Global Sales Manager (SaaS Energy Analytics),Wattics,Dublin,3 days ago,2021-01-22,"Cloud-based energy and IoT management analytics are at a focal point to understand business operations, decide on investments and discover saving opportunities.",,https://ie.indeed.com/rc/clk?jk=250e5ecf7db8cc83&fccid=3101a7bf9b3dfcc6&vjs=3
Supply Chain Senior Data Analyst,PepsiCo,Cork,8 days ago,2021-01-22,"Deliver accurate and timely data analytics by leveraging external resources, stakeholder network (internal & external), implementing process enhancements.",,https://ie.indeed.com/rc/clk?jk=37df763eb3c873f0&fccid=2973259ddc967948&vjs=3
Risk Analyst,Telnyx,Dublin,30+ days ago,2021-01-22,"Experience in predictive analytics, regression, and hypothesis testing is a plus. 1+ years of experience in extracting and processing data sets using SQL, Excel…",,https://ie.indeed.com/rc/clk?jk=3b8b5475bb7b9335&fccid=a337b7ba2ac8ec4f&vjs=3
Head of Performance Measurement and Portfolio Analysis,Mediolanum International Funds Limited,Dublin,2 days ago,2021-01-22,"Knowledge or experience with scripted languages (Python, R) and data science exposure is an advantage. The team has grown in recent years and are responsible…",,https://ie.indeed.com/rc/clk?jk=a6da5e78b0f9412d&fccid=5fe576c1c34a75fd&vjs=3
Marketing Data Delivery Executive - Betfair International,Betfair International,Dublin,30+ days ago,2021-01-22,"Strong understanding of the campaign targeting toolkit, which includes data interrogation, data manipulation, campaign management and analysis tools.",,https://ie.indeed.com/rc/clk?jk=371575ca23932dd0&fccid=36e054edfc4066d5&vjs=3
"Graduate, Operations Coordinator 2 - Regulatory Reporting",IQVIA,Dublin,16 days ago,2021-01-22,"At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…",,https://ie.indeed.com/rc/clk?jk=8917ad268d66f2d6&fccid=6b7a1dfe07e7f037&vjs=3
